學年度,縣市別,幼兒園,國小,國中,高級中等學校-普通科,高級中等學校-專業群科,高級中等學校-綜合高中,高級中等學校-實用技能學程,高級中等學校-進修部,大專校院(全部計入校本部),大專校院(跨縣市教學計入所在地縣市),宗教研修學院,國民補習及大專進修學校及空大,特殊教育學校
107,新北市,83960,195862,95923,39153,34275,5128,700,4693,147293,141046,89,17056,318
107,臺北市,54229,118097,64651,57381,31239,3316,302,4712,259340,239263,124,7409,739
107,桃園市,54358,124639,64734,29262,33257,2544,4422,5138,101858,113066,0,2628,419
107,臺中市,79891,153260,81865,37422,45640,1970,4119,5479,186363,185886,0,9543,807
107,臺南市,47210,88745,48570,24629,19920,3480,3594,2101,120215,121598,47,1342,446
107,高雄市,57683,126527,69362,34231,36231,2134,5094,3021,141008,146140,128,7742,625
107,宜蘭縣,10876,21515,13233,5981,4325,1233,610,555,12864,15850,0,816,103
107,新竹縣,16412,36512,16990,5204,5121,1174,850,949,14411,19541,0,545,241
107,苗栗縣,12027,27778,14967,6182,7363,1152,1206,867,18887,18704,0,219,118
107,彰化縣,29513,62367,35150,11949,17139,3951,2689,2712,33376,33328,0,870,511
107,南投縣,10617,22763,13531,4269,7575,637,970,588,10926,10926,50,470,137
107,雲林縣,14170,31645,19840,7607,7833,1273,1403,642,24836,25598,0,1038,202
107,嘉義縣,8865,18736,11450,2700,4597,426,1336,399,27312,31702,0,979,0
107,屏東縣,16004,35146,21110,8665,8086,828,640,1095,38794,38541,0,1532,173
107,臺東縣,4733,10189,6052,562,2622,2349,185,275,5757,5814,0,37,108
107,花蓮縣,7160,15235,9102,3975,3725,1780,72,491,18269,18301,0,269,143
107,澎湖縣,1803,3472,2200,897,1542,0,44,0,3025,3025,0,18,0
107,基隆市,7169,15896,9031,4093,5088,338,411,413,14802,14802,0,2162,114
107,新竹市,13773,30866,15214,9256,5875,2906,533,1358,47161,46003,0,246,0
107,嘉義市,6628,15090,9351,6298,8298,1214,1865,589,14022,11234,0,208,288
107,金門縣,2037,3729,1863,976,1018,0,34,47,4303,4374,0,0,0
107,連江縣,286,482,220,0,0,285,0,0,0,80,0,0,0
